taxa_clean,n,mean_afdm_dm,lower_ci_mean_afdm_dm,upper_ci_mean_afdm_dm,sd_afdm_dm,geom_mean,min_afdm_dm,median_afdm_dm,max_afdm_dm,range_dm
Arthritica,11,0.2105969374501155,0.13256743621534592,0.2886264386848851,0.11614831721263769,0.1843711119846745,0.05121951219512195,0.18256029684601113,0.5038167938931297,0.007-0.155
Capitella,12,0.6608410491892436,0.562059915692081,0.7596221826864061,0.15547032769562694,0.6431913204022065,0.44444444444444436,0.6714458850700875,0.8521739130434781,0.002-0.039
Hydrobiidae,8,0.33919741865908704,0.29316581039497097,0.3852290269232031,0.055060354439914735,0.3346998566627927,0.22502870264064295,0.3520337314642762,0.4090909090909091,0.007-0.175
Salinator,18,0.28252823858996934,0.23069369356453456,0.33436278361540406,0.10423439471855117,0.2670439903558889,0.1764705882352941,0.234879382559717,0.5235602094240838,0.005-2.312
Simplisetia,12,0.7321438088397235,0.6203969119786685,0.8438907057007785,0.17587697224041968,0.7106491054278831,0.4130781499202552,0.7238199010707403,0.9502262443438914,0.003-0.250
